"Stanza","Line","Line Text","Parse Rank","Parse Text","Parse Meter","Parse Stress","Length (#sylls)","Ambiguity (#parses)","Tension (#viols)","*w stress","*s unstress","*unres within","*foot size","*unres across","*w peak","*s trough","*pentameter","*iambic"
"1","1","i've lived my life in fathoms deep","121","I'VE.LIVED my.life IN.FAT homs DEEP","++--++-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","122","I'VE.LIVED my LIFE in.fat HOMS.DEEP","++-+--++","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","123","I'VE.LIVED my LIFE.IN fat.homs DEEP","++-++--+","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","124","I'VE.LIVED my LIFE.IN fat HOMS.DEEP","++-++-++","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","135","I'VE.LIVED my.life IN.FAT homs.deep","++--++--","-+-+-+-+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","1","now AS i LAY me DOWN to SLEEP","-+-+-+-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","2","now.as I lay ME down TO sleep","--+-+-+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","3","now AS i.lay ME down TO sleep","-+--+-+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","4","now AS i LAY me.down TO sleep","-+-+--+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","5","now AS i LAY me DOWN to.sleep","-+-+-+--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","6","now AS i LAY me DOWN.TO sleep","-+-+-++-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","7","now AS i LAY.ME down TO sleep","-+-++-+-","+--+---+","8","68","","","","","","","","","",""
